what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1424686182448
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1424686182450
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1424686182472
os,sysinfo,,,"win32",1424686182476
arch,sysinfo,,,"x86_64",1424686182476
ws,sysinfo,,,"win32",1424686182476
locale,sysinfo,,,"fr_FR",1424686182476
processors,sysinfo,,,"4",1424686182476
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424686182476
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1424686182476
java.specification.name,sysinfo,,,"Java Platform API Specification",1424686182476
java.specification.vendor,sysinfo,,,"Oracle Corporation",1424686182476
java.specification.version,sysinfo,,,"1.8",1424686182476
java.vendor,sysinfo,,,"Oracle Corporation",1424686182476
java.version,sysinfo,,,"1.8.0_31",1424686182476
java.vm.info,sysinfo,,,"mixed mode",1424686182476
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1424686182476
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424686182476
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1424686182476
java.vm.specification.version,sysinfo,,,"1.8",1424686182476
java.vm.vendor,sysinfo,,,"Oracle Corporation",1424686182476
java.vm.version,sysinfo,,,"25.31-b07",1424686182476
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1424686182517
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1424686182985
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1424686183196
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1424686183197
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1424686183198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424686183676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424687471865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424687472785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424687983411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424687987014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424688829878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424688830331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424688834214
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424688849047
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1424688872053
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1424688872846
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1424688882518
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1424688882745
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1424688882969
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1424688883319
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1424688883832
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1424688884030
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1424688884120
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1424688884120
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1424688884335
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1424688884335
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1424688884604
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1424688885042
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1424688885233
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1424688885622
